participant_id,trial_num,phase,rotation_angle,trial_type,ref_object,comp_object,object_identity,response,correct_response,correct,rt_ms
20260403_191027,1,main,90,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,3303.24
20260403_191027,2,main,180,different,8cube_B_mirror,8cube_B,8cube_B_mirror,same,different,0,3003.31
20260403_191027,3,main,180,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,4782.97
20260403_191027,4,main,270,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,1455.83
20260403_191027,5,main,90,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,2942.66
20260403_191027,6,main,0,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2648.84
20260403_191027,7,main,270,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,4073.24
20260403_191027,8,main,270,same,10cube_A,10cube_A,10cube_A,same,same,1,2667.2
20260403_191027,9,main,270,same,8cube_B,8cube_B,8cube_B,same,same,1,3795.91
20260403_191027,10,main,180,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2829.13
20260403_191027,11,main,90,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,2797.17
20260403_191027,12,main,90,same,10cube_A,10cube_A,10cube_A,same,same,1,2583.44
20260403_191027,13,main,180,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,3633.94
20260403_191027,14,main,180,same,8cube_B,8cube_B,8cube_B,same,same,1,3318.9
20260403_191027,15,main,270,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,5008.14
20260403_191027,16,main,0,different,10cube_A,10cube_A_mirror,10cube_A,different,different,1,2956.69
20260403_191027,17,main,0,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1707.25
20260403_191027,18,main,90,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,2491.25
20260403_191027,19,main,270,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,3042.17
20260403_191027,20,main,180,same,10cube_A,10cube_A,10cube_A,same,same,1,4010.12
20260403_191027,21,main,180,different,8cube_B,8cube_B_mirror,8cube_B,different,different,1,1499.18
20260403_191027,22,main,0,same,10cube_A,10cube_A,10cube_A,same,same,1,2530.18
20260403_191027,23,main,0,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2986.62
20260403_191027,24,main,270,same,10cube_A_mirror,10cube_A_mirror,10cube_A_mirror,same,same,1,3227.11
20260403_191027,25,main,90,same,8cube_B,8cube_B,8cube_B,same,same,1,2495.14
20260403_191027,26,main,180,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,different,same,0,2288.86
20260403_191027,27,main,90,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2456.16
20260403_191027,28,main,270,different,8cube_B,8cube_B_mirror,8cube_B,same,different,0,4832.46
20260403_191027,29,main,0,same,8cube_B,8cube_B,8cube_B,same,same,1,1924.83
20260403_191027,30,main,90,same,8cube_B_mirror,8cube_B_mirror,8cube_B_mirror,same,same,1,2611.19
20260403_191027,31,main,0,different,8cube_B_mirror,8cube_B,8cube_B_mirror,different,different,1,2145.2
20260403_191027,32,main,0,different,10cube_A_mirror,10cube_A,10cube_A_mirror,different,different,1,2902.74
