"participant_id","trial_num","phase","rotation_angle","trial_type","ref_object","comp_object","object_identity","response","correct_response","correct","rt_ms","sex","gaming_hrs_week","gaming_group"
"20260403_161341",1,"main",90,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1213.53,"M",6,"High"
"20260403_161341",2,"main",180,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,929.2,"M",6,"High"
"20260403_161341",3,"main",180,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,826.15,"M",6,"High"
"20260403_161341",4,"main",270,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,759.97,"M",6,"High"
"20260403_161341",5,"main",90,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1031.32,"M",6,"High"
"20260403_161341",6,"main",0,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,930.25,"M",6,"High"
"20260403_161341",7,"main",270,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1474.42,"M",6,"High"
"20260403_161341",8,"main",270,"same","10cube_A","10cube_A","10cube_A","same","same",1,1710.02,"M",6,"High"
"20260403_161341",9,"main",270,"same","8cube_B","8cube_B","8cube_B","same","same",1,1150.05,"M",6,"High"
"20260403_161341",10,"main",180,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1232.64,"M",6,"High"
"20260403_161341",11,"main",90,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1233.49,"M",6,"High"
"20260403_161341",12,"main",90,"same","10cube_A","10cube_A","10cube_A","same","same",1,1557.1,"M",6,"High"
"20260403_161341",13,"main",180,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1448.42,"M",6,"High"
"20260403_161341",14,"main",180,"same","8cube_B","8cube_B","8cube_B","same","same",1,2398.47,"M",6,"High"
"20260403_161341",15,"main",270,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1268.04,"M",6,"High"
"20260403_161341",16,"main",0,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1623.53,"M",6,"High"
"20260403_161341",17,"main",0,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1408.31,"M",6,"High"
"20260403_161341",18,"main",90,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,2052.05,"M",6,"High"
"20260403_161341",19,"main",270,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1668.77,"M",6,"High"
"20260403_161341",20,"main",180,"same","10cube_A","10cube_A","10cube_A","different","same",0,1608.62,"M",6,"High"
"20260403_161341",21,"main",180,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1455.59,"M",6,"High"
"20260403_161341",22,"main",0,"same","10cube_A","10cube_A","10cube_A","same","same",1,1755.59,"M",6,"High"
"20260403_161341",23,"main",0,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1656.61,"M",6,"High"
"20260403_161341",24,"main",270,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,2195.35,"M",6,"High"
"20260403_161341",25,"main",90,"same","8cube_B","8cube_B","8cube_B","same","same",1,3158.78,"M",6,"High"
"20260403_161341",26,"main",180,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","different","same",0,3449.35,"M",6,"High"
"20260403_161341",27,"main",90,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","same","different",0,1981.53,"M",6,"High"
"20260403_161341",28,"main",270,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1233.39,"M",6,"High"
"20260403_161341",29,"main",0,"same","8cube_B","8cube_B","8cube_B","same","same",1,1405.94,"M",6,"High"
"20260403_161341",30,"main",90,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","different","same",0,3349.24,"M",6,"High"
"20260403_161341",31,"main",0,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,2541.02,"M",6,"High"
"20260403_161341",32,"main",0,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1349.67,"M",6,"High"
"20260403_161910",1,"main",270,"same","8cube_B","8cube_B","8cube_B","same","same",1,3558.15,"M",5,"High"
"20260403_161910",2,"main",0,"same","8cube_B","8cube_B","8cube_B","same","same",1,1842.29,"M",5,"High"
"20260403_161910",3,"main",180,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,3282.25,"M",5,"High"
"20260403_161910",4,"main",90,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,2627.02,"M",5,"High"
"20260403_161910",5,"main",90,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1693.88,"M",5,"High"
"20260403_161910",6,"main",90,"same","8cube_B","8cube_B","8cube_B","same","same",1,1497.35,"M",5,"High"
"20260403_161910",7,"main",0,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1957.16,"M",5,"High"
"20260403_161910",8,"main",0,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,977.9,"M",5,"High"
"20260403_161910",9,"main",90,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1432.62,"M",5,"High"
"20260403_161910",10,"main",270,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,2203.36,"M",5,"High"
"20260403_161910",11,"main",90,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,2884.51,"M",5,"High"
"20260403_161910",12,"main",270,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1060.69,"M",5,"High"
"20260403_161910",13,"main",270,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,3102.01,"M",5,"High"
"20260403_161910",14,"main",180,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1704.18,"M",5,"High"
"20260403_161910",15,"main",180,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,3102.39,"M",5,"High"
"20260403_161910",16,"main",0,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1516.08,"M",5,"High"
"20260403_161910",17,"main",270,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1149.51,"M",5,"High"
"20260403_161910",18,"main",0,"same","10cube_A","10cube_A","10cube_A","same","same",1,2088.68,"M",5,"High"
"20260403_161910",19,"main",90,"same","10cube_A","10cube_A","10cube_A","same","same",1,9123.36,"M",5,"High"
"20260403_161910",20,"main",0,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,2004.51,"M",5,"High"
"20260403_161910",21,"main",0,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,5130.26,"M",5,"High"
"20260403_161910",22,"main",180,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,973.91,"M",5,"High"
"20260403_161910",23,"main",270,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,816.87,"M",5,"High"
"20260403_161910",24,"main",180,"same","8cube_B","8cube_B","8cube_B","same","same",1,1626.72,"M",5,"High"
"20260403_161910",25,"main",270,"same","10cube_A","10cube_A","10cube_A","same","same",1,1924.71,"M",5,"High"
"20260403_161910",26,"main",90,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1382.76,"M",5,"High"
"20260403_161910",27,"main",270,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1726.67,"M",5,"High"
"20260403_161910",28,"main",90,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,2333.24,"M",5,"High"
"20260403_161910",29,"main",180,"same","10cube_A","10cube_A","10cube_A","same","same",1,2943.23,"M",5,"High"
"20260403_161910",30,"main",180,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1558.56,"M",5,"High"
"20260403_161910",31,"main",180,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1655.64,"M",5,"High"
"20260403_161910",32,"main",0,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,3302.57,"M",5,"High"
"20260403_162438",1,"main",0,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,2266.65,"F",5,"High"
"20260403_162438",2,"main",180,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,9506.45,"F",5,"High"
"20260403_162438",3,"main",270,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,2194.74,"F",5,"High"
"20260403_162438",4,"main",180,"same","8cube_B","8cube_B","8cube_B","same","same",1,2126.82,"F",5,"High"
"20260403_162438",5,"main",90,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,826.8,"F",5,"High"
"20260403_162438",6,"main",180,"same","10cube_A","10cube_A","10cube_A","same","same",1,2295.7,"F",5,"High"
"20260403_162438",7,"main",90,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1217.33,"F",5,"High"
"20260403_162438",8,"main",180,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,999.09,"F",5,"High"
"20260403_162438",9,"main",180,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1433.24,"F",5,"High"
"20260403_162438",10,"main",90,"same","8cube_B","8cube_B","8cube_B","same","same",1,2562.64,"F",5,"High"
"20260403_162438",11,"main",270,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1405.85,"F",5,"High"
"20260403_162438",12,"main",180,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1299.95,"F",5,"High"
"20260403_162438",13,"main",270,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1638.83,"F",5,"High"
"20260403_162438",14,"main",90,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1517.08,"F",5,"High"
"20260403_162438",15,"main",0,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1014.15,"F",5,"High"
"20260403_162438",16,"main",270,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1708.06,"F",5,"High"
"20260403_162438",17,"main",90,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1534.49,"F",5,"High"
"20260403_162438",18,"main",90,"same","10cube_A","10cube_A","10cube_A","different","same",0,5185.08,"F",5,"High"
"20260403_162438",19,"main",90,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,2923.85,"F",5,"High"
"20260403_162438",20,"main",270,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1931.07,"F",5,"High"
"20260403_162438",21,"main",90,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1507.77,"F",5,"High"
"20260403_162438",22,"main",0,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1859.45,"F",5,"High"
"20260403_162438",23,"main",270,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,814.6,"F",5,"High"
"20260403_162438",24,"main",270,"same","10cube_A","10cube_A","10cube_A","same","same",1,4207.71,"F",5,"High"
"20260403_162438",25,"main",0,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1383.42,"F",5,"High"
"20260403_162438",26,"main",0,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1672.58,"F",5,"High"
"20260403_162438",27,"main",180,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,5374.72,"F",5,"High"
"20260403_162438",28,"main",180,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1927.44,"F",5,"High"
"20260403_162438",29,"main",0,"same","8cube_B","8cube_B","8cube_B","same","same",1,1248.94,"F",5,"High"
"20260403_162438",30,"main",0,"same","10cube_A","10cube_A","10cube_A","same","same",1,1251.13,"F",5,"High"
"20260403_162438",31,"main",270,"same","8cube_B","8cube_B","8cube_B","different","same",0,1509.83,"F",5,"High"
"20260403_162438",32,"main",0,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,876.05,"F",5,"High"
"20260403_162851",1,"main",0,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1013.02,"F",3,"Low"
"20260403_162851",2,"main",180,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1600.97,"F",3,"Low"
"20260403_162851",3,"main",90,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,894.48,"F",3,"Low"
"20260403_162851",4,"main",180,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1252.12,"F",3,"Low"
"20260403_162851",5,"main",90,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","same","different",0,2097.17,"F",3,"Low"
"20260403_162851",6,"main",0,"same","8cube_B","8cube_B","8cube_B","same","same",1,1210.18,"F",3,"Low"
"20260403_162851",7,"main",270,"same","10cube_A","10cube_A","10cube_A","same","same",1,1947.21,"F",3,"Low"
"20260403_162851",8,"main",90,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1197.77,"F",3,"Low"
"20260403_162851",9,"main",90,"same","8cube_B","8cube_B","8cube_B","same","same",1,1486.84,"F",3,"Low"
"20260403_162851",10,"main",270,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1512.36,"F",3,"Low"
"20260403_162851",11,"main",90,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,2278.56,"F",3,"Low"
"20260403_162851",12,"main",270,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1452.63,"F",3,"Low"
"20260403_162851",13,"main",270,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1175.68,"F",3,"Low"
"20260403_162851",14,"main",90,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1194.56,"F",3,"Low"
"20260403_162851",15,"main",270,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,946,"F",3,"Low"
"20260403_162851",16,"main",180,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,995.43,"F",3,"Low"
"20260403_162851",17,"main",270,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1617.04,"F",3,"Low"
"20260403_162851",18,"main",180,"same","10cube_A","10cube_A","10cube_A","same","same",1,1954.84,"F",3,"Low"
"20260403_162851",19,"main",90,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1430.84,"F",3,"Low"
"20260403_162851",20,"main",0,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1489.17,"F",3,"Low"
"20260403_162851",21,"main",0,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1056.99,"F",3,"Low"
"20260403_162851",22,"main",0,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1818.08,"F",3,"Low"
"20260403_162851",23,"main",180,"same","8cube_B","8cube_B","8cube_B","same","same",1,1148.35,"F",3,"Low"
"20260403_162851",24,"main",270,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1077.18,"F",3,"Low"
"20260403_162851",25,"main",270,"same","8cube_B","8cube_B","8cube_B","same","same",1,914.74,"F",3,"Low"
"20260403_162851",26,"main",180,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,989.54,"F",3,"Low"
"20260403_162851",27,"main",90,"same","10cube_A","10cube_A","10cube_A","same","same",1,942.33,"F",3,"Low"
"20260403_162851",28,"main",0,"same","10cube_A","10cube_A","10cube_A","same","same",1,806.62,"F",3,"Low"
"20260403_162851",29,"main",180,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1421.18,"F",3,"Low"
"20260403_162851",30,"main",180,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1170.27,"F",3,"Low"
"20260403_162851",31,"main",0,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,760.06,"F",3,"Low"
"20260403_162851",32,"main",0,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,1042.58,"F",3,"Low"
"20260403_163233",1,"main",180,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,7292.74,"F",7,"High"
"20260403_163233",2,"main",0,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,7773.21,"F",7,"High"
"20260403_163233",3,"main",270,"same","10cube_A","10cube_A","10cube_A","same","same",1,2291.92,"F",7,"High"
"20260403_163233",4,"main",0,"same","10cube_A","10cube_A","10cube_A","same","same",1,1284.92,"F",7,"High"
"20260403_163233",5,"main",180,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,2837.6,"F",7,"High"
"20260403_163233",6,"main",180,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1841.1,"F",7,"High"
"20260403_163233",7,"main",90,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,4502.97,"F",7,"High"
"20260403_163233",8,"main",180,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,3093.74,"F",7,"High"
"20260403_163233",9,"main",90,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1437.1,"F",7,"High"
"20260403_163233",10,"main",180,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","same","different",0,1388.53,"F",7,"High"
"20260403_163233",11,"main",0,"same","8cube_B","8cube_B","8cube_B","same","same",1,3773.13,"F",7,"High"
"20260403_163233",12,"main",90,"same","10cube_A","10cube_A","10cube_A","same","same",1,2491.89,"F",7,"High"
"20260403_163233",13,"main",90,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1747.77,"F",7,"High"
"20260403_163233",14,"main",0,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1047.03,"F",7,"High"
"20260403_163233",15,"main",270,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1294.79,"F",7,"High"
"20260403_163233",16,"main",270,"same","8cube_B","8cube_B","8cube_B","same","same",1,2511.64,"F",7,"High"
"20260403_163233",17,"main",270,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,2078.84,"F",7,"High"
"20260403_163233",18,"main",180,"same","10cube_A","10cube_A","10cube_A","same","same",1,2270.95,"F",7,"High"
"20260403_163233",19,"main",90,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,2042.13,"F",7,"High"
"20260403_163233",20,"main",90,"same","8cube_B","8cube_B","8cube_B","same","same",1,2687.51,"F",7,"High"
"20260403_163233",21,"main",0,"different","8cube_B_mirror","8cube_B","8cube_B_mirror","different","different",1,1270.15,"F",7,"High"
"20260403_163233",22,"main",270,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1670.48,"F",7,"High"
"20260403_163233",23,"main",0,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1907.55,"F",7,"High"
"20260403_163233",24,"main",90,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,2380.48,"F",7,"High"
"20260403_163233",25,"main",90,"same","10cube_A_mirror","10cube_A_mirror","10cube_A_mirror","same","same",1,1258.6,"F",7,"High"
"20260403_163233",26,"main",270,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1425.64,"F",7,"High"
"20260403_163233",27,"main",0,"different","10cube_A","10cube_A_mirror","10cube_A","different","different",1,1128.12,"F",7,"High"
"20260403_163233",28,"main",0,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,911.48,"F",7,"High"
"20260403_163233",29,"main",270,"different","8cube_B","8cube_B_mirror","8cube_B","different","different",1,1313.99,"F",7,"High"
"20260403_163233",30,"main",270,"different","10cube_A_mirror","10cube_A","10cube_A_mirror","different","different",1,2099.03,"F",7,"High"
"20260403_163233",31,"main",180,"same","8cube_B_mirror","8cube_B_mirror","8cube_B_mirror","same","same",1,1865.29,"F",7,"High"
